;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;;Name the district of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/district> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/district> ?uri };ba1296ab79d44a72b90bc4eda20551f0;;;;;;;;;;;;;;;
;Sport;Name the driver who had a pole finish in <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/poleDriver> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/poleDriver> ?uri };af1582bae86d4e2dbb0237cb9e880064;;;;;;;;;;;;;;;
;Sport;Name the driver who was at pole in <A> and also <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/poleDriver> ?uri . <B> <http://dbpedia.org/ontology/poleDriver> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/poleDriver> ?uri . ?b <http://dbpedia.org/ontology/poleDriver> ?uri };0486c904f3684e70a2e91846a6e53640;;;;;;;;;;;;;;;
;Literature;NAme the emplyer for whihc <A> has worked and also written in <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/employer> ?uri . <B> <http://dbpedia.org/ontology/author> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/employer> ?uri . ?b <http://dbpedia.org/ontology/author> ?uri };b1ffee719580428fa70efc72d7f54ba5;;;;;;;;;;;;;;;
;General;Name the F1 racer with relative as <B> and has child named <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/relatives> <B> . ?uri <http://dbpedia.org/ontology/child> <A> . ?uri a <http://dbpedia.org/ontology/FormulaOneRacer> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/relatives> ?b . ?uri <http://dbpedia.org/ontology/child> ?a . ?uri a <http://dbpedia.org/ontology/FormulaOneRacer> };2a230169f9384e17b2a51ca0553f5fd4;;;;;;;;;;;;;;;
;;Name the famous employee of <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/employer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/employer> ?a };dc5442f9638d4d3a877e6926914c08db;;;;;;;;;;;;;;;
;Art;Name the fictional character painted by <B> and portrayed in <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/creator> <B> . ?uri <http://dbpedia.org/ontology/portrayer> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/creator> ?b . ?uri <http://dbpedia.org/ontology/portrayer> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };37ea4965d2b64433a69300a0f28f5c84;;;;;;;;;;;;;;;
;Art;Name the fictional character who was in <A> and portrayer is <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/series> <A> . ?uri <http://dbpedia.org/ontology/portrayer> <B> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/series> ?a . ?uri <http://dbpedia.org/ontology/portrayer> ?b . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };c00fa42c4aa643d4aad94464399b60ea;;;;;;;;;;;;;;;
;Film;Name the fictional character whose relative are <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/relative> <B> . ?uri <http://dbpedia.org/property/relatives> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/relative> ?b . ?uri <http://dbpedia.org/property/relatives> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };6f8d3265d2f34fe2823b67ae38748882;;;;;;;;;;;;;;;
;Film;Name the fictional character whose relatives are <A> and belongs to <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/relatives> <A> . ?uri <http://dbpedia.org/ontology/relative> <B> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/relatives> ?a . ?uri <http://dbpedia.org/ontology/relative> ?b . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };65cb514fcc3148d6ba887e1d9e2d494f;;;;;;;;;;;;;;;
;Film;Name the fictional character whose relatives are <A> and is of species <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/relatives> <A> . ?uri <http://dbpedia.org/ontology/species> <B> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/relatives> ?a . ?uri <http://dbpedia.org/ontology/species> ?b . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };15578900e719497ea0e89f95818a753a;;;;;;;;;;;;;;;
;Film;Name the fictional character whose species is <A> and has relatives named <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/species> <A> . ?uri <http://dbpedia.org/property/relatives> <B> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/species> ?a . ?uri <http://dbpedia.org/property/relatives> ?b . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };76f197d00d1d4cf695613aa5f7089c3f;;;;;;;;;;;;;;;
;Film;Name the fictional character whose voice's animator is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/animator> <A> . ?uri <http://dbpedia.org/ontology/voice> ?x . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?x <http://dbpedia.org/property/animator> ?a . ?uri <http://dbpedia.org/ontology/voice> ?x . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };dcb720202a9b4b1bac3951450a734b3a;;;;;;;;;;;;;;;
;Sport;Name the first driver of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/firstDriver> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/firstDriver> ?uri };950ceddbc0c5404eabe9f4770407937b;;;;;;;;;;;;;;;
;Music;Name the founders of the record labels whose one of the founders is <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/founder> <A> . ?x <http://dbpedia.org/property/founder> ?uri . ?x a <http://dbpedia.org/ontology/RecordLabel> };select distinct ?a where { ?x <http://dbpedia.org/property/founder> ?a . ?x <http://dbpedia.org/property/founder> ?uri . ?x a <http://dbpedia.org/ontology/RecordLabel> };ed3777b583d140ae9097e15d39c80d2f;;;;;;;;;;;;;;;
;;Name the garrison of the <B> and line of the <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/garrison> ?uri . <A> <http://dbpedia.org/property/line> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/garrison> ?uri . ?a <http://dbpedia.org/property/line> ?uri };3f4e1777926347a99cba52bdca19ce51;;;;;;;;;;;;;;;
;;Name the ground of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/ground> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/ground> ?uri };6119ae45be054c5b8898d10978eae65d;;;;;;;;;;;;;;;
;Sport;Name the hockey team which has head coach as <A> and is based in <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/locationCity> <B> . ?uri <http://dbpedia.org/property/headCoach> <A> . ?uri a <http://dbpedia.org/ontology/HockeyTeam> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/locationCity> ?b . ?uri <http://dbpedia.org/property/headCoach> ?a . ?uri a <http://dbpedia.org/ontology/HockeyTeam> };7657e13a3b7e4ab58937e184cef0f93d;;;;;;;;;;;;;;;
;Sport;Name the hockey team whose head coach is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/headCoach> <A> . ?uri a <http://dbpedia.org/ontology/HockeyTeam> };select distinct ?a where { ?uri <http://dbpedia.org/property/headCoach> ?a . ?uri a <http://dbpedia.org/ontology/HockeyTeam> };c83d6063d4884c32bb551e7905d704d9;;;;;;;;;;;;;;;
;Sport;Name the home ground of  <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/ground> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/ground> ?uri };deecfa268f4c4b99b10f15c85fea67b7;;;;;;;;;;;;;;;
X;Sport;name the home stadium of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/homeStadium> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/homeStadium> ?uri };32830f79373c474abbf24909919f630e;name the home stadium <A> 2011-12;;;;;;;;;;;;;;
;Sport;Name the home Stadium of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/homeStadium> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/homeStadium> ?uri };a5e0d47ce7c24a0ea619a0edcaad11e8;;;;;;;;;;;;;;;
D;General;Name the home town of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/hometown> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/hometown> ?uri };e45dcefc54af4edbbb07b37331ca8f14;;;;;;;;;;;;;;;
D;General;Name the home town of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/homeTown> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/homeTown> ?uri };0f2bfb81e96b44b1bc4586e49852fccf;;;;;;;;;;;;;;;
;;Name the hubs of the airlines whose headquarters is in the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/headquarters> <A> . ?x <http://dbpedia.org/property/hubs> ?uri . ?x a <http://dbpedia.org/ontology/Airline> };select distinct ?a where { ?x <http://dbpedia.org/property/headquarters> ?a . ?x <http://dbpedia.org/property/hubs> ?uri . ?x a <http://dbpedia.org/ontology/Airline> };b7793671687a4f84826d505cfe9e14f1;;;;;;;;;;;;;;;
;;Name the incumbent of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/incumbent> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/incumbent> ?uri };40ce6c3ca38043918ce00a735a2e4c98;;;;;;;;;;;;;;;
;;Name the institute of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/institution> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/institution> ?uri };4ff9b452822549048ab6fb060739559c;;;;;;;;;;;;;;;
;;Name the island with archipelago as <B> and has the largest city named <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/largestCity> <A> . ?uri <http://dbpedia.org/property/archipelago> <B> . ?uri a <http://dbpedia.org/ontology/Island> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/largestCity> ?a . ?uri <http://dbpedia.org/property/archipelago> ?b . ?uri a <http://dbpedia.org/ontology/Island> };54e823bdc8d44ed7a0a40c77e29c361d;;;;;;;;;;;;;;;
;;Name the islands that belong to the archipelago whose largest city is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/largestCity> <A> . ?uri <http://dbpedia.org/property/archipelago> ?x };select distinct ?a where { ?x <http://dbpedia.org/ontology/largestCity> ?a . ?uri <http://dbpedia.org/property/archipelago> ?x };f8b4b4e3f56d470eaa30548567ac76bc;;;;;;;;;;;;;;;
;;Name the key people of the non-profit organisations whose one of the key person is <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/keyPeople> <A> . ?x <http://dbpedia.org/property/keyPeople> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/keyPeople> ?a . ?x <http://dbpedia.org/property/keyPeople> ?uri };76d138bb81fa4ba0bcdcaadcdd68dcc9;;;;;;;;;;;;;;;
;;Name the kingdom with currency <A> and administrative headquarters in <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/currency> <A> . ?uri <http://dbpedia.org/ontology/capital> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/currency> ?a . ?uri <http://dbpedia.org/ontology/capital> ?b };f32a9202283b4b51a57f25e1e59661f4;;;;;;;;;;;;;;;
;;Name the language of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/language> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/language> ?uri };5d35202b7de94c2aa0a76efeb59ec38d;;;;;;;;;;;;;;;
;;Name the largest city in the county where there is a <A>.;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/county> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/county> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri };d20a76100844447baaac326f589861ce;;;;;;;;;;;;;;;
;;Name the largest city of the country where the body of <A> was discovered?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/bodyDiscovered> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri . ?x a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?a <http://dbpedia.org/ontology/bodyDiscovered> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri . ?x a <http://dbpedia.org/ontology/Country> };635e0b878e574ae6af542fd1e1a9cdac;;;;;;;;;;;;;;;
;;Name the licensee of the <A> who has the affiliation of  <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/licensee> ?uri . <B> <http://dbpedia.org/property/affiliation> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/licensee> ?uri . ?b <http://dbpedia.org/property/affiliation> ?uri };2cac0aa4df6d4ad6918d462993e33e80;;;;;;;;;;;;;;;
;Film;Name the licensee of the TV station whose one of the licensee is <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/licensee> <A> . ?x <http://dbpedia.org/property/licensee> ?uri . ?x a <http://dbpedia.org/ontology/TelevisionStation> };select distinct ?a where { ?x <http://dbpedia.org/property/licensee> ?a . ?x <http://dbpedia.org/property/licensee> ?uri . ?x a <http://dbpedia.org/ontology/TelevisionStation> };5ad1ae78dccc48cf8191cdc793ed60b5;;;;;;;;;;;;;;;
;;Name the line of the <A> which is also the  hub airport of the <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/line> ?uri . <B> <http://dbpedia.org/ontology/hubAirport> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/line> ?uri . ?b <http://dbpedia.org/ontology/hubAirport> ?uri };1fddb6aae1e34017a5ef49ecfbd2f3bb;;;;;;;;;;;;;;;
;Literature;Name the local authority of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/localAuthority> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/localAuthority> ?uri };ef6dc0a3edb54f33bf874f7c5b9dae0a;;;;;;;;;;;;;;;
;;Name the loocation of <B> which is also the location of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/location> ?uri . <A> <http://dbpedia.org/ontology/sourceCountry> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/location> ?uri . ?a <http://dbpedia.org/ontology/sourceCountry> ?uri };4f77489b44f4444fb99edd7e387255a6;;;;;;;;;;;;;;;
;;Name the major shrine of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/majorShrine> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/majorShrine> ?uri };49e05cb4c7b944b687a0c3d8d1766fc5;;;;;;;;;;;;;;;
;;Name the mammals which are <A> and belongs to family of <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/order> <A> . ?uri <http://dbpedia.org/ontology/family> <B> . ?uri a <http://dbpedia.org/ontology/Mammal> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/order> ?a . ?uri <http://dbpedia.org/ontology/family> ?b . ?uri a <http://dbpedia.org/ontology/Mammal> };8a5c47c1f5544bed9201bf2e6d45ba64;;;;;;;;;;;;;;;
;Sport;Name the mascot of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/mascot> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/mascot> ?uri };db8ba3e09dd14372b45c7565c2b078f7;;;;;;;;;;;;;;;
;;Name the mascot of the military branch of <A>.;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/militaryBranch> ?x . ?x <http://dbpedia.org/property/mascot> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/militaryBranch> ?x . ?x <http://dbpedia.org/property/mascot> ?uri };8b3daf3912ea4686a1b8ee5d2d9918df;;;;;;;;;;;;;;;
;;Name the members of  boards of <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/board> <B> . ?uri <http://dbpedia.org/ontology/board> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/board> ?b . ?uri <http://dbpedia.org/ontology/board> ?a };401fed151be7413abf38efaa54396fce;;;;;;;;;;;;;;;
;Sport;Name the members of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/membership> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/membership> ?uri };a93043e0abc847e0856bff25d6507a08;;;;;;;;;;;;;;;
;Sport;Name the members of youth clubs which have <A> as their homeground.;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/ground> <A> . ?uri <http://dbpedia.org/property/youthclubs> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/ground> ?a . ?uri <http://dbpedia.org/property/youthclubs> ?x };5600cf1071264310a057ac57ba802779;;;;;;;;;;;;;;;
;;Name the military conflict whose commander was <A> and took place in <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/commander> <A> . ?uri <http://dbpedia.org/ontology/place> <B> . ?uri a <http://dbpedia.org/ontology/MilitaryConflict> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/commander> ?a . ?uri <http://dbpedia.org/ontology/place> ?b . ?uri a <http://dbpedia.org/ontology/MilitaryConflict> };8246341ae9094f0e9ddd0b1becf8a139;;;;;;;;;;;;;;;
;;Name the military unit whose garrison is <B> and command structure is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/garrison> <B> . ?uri <http://dbpedia.org/ontology/commandStructure> <A> . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/garrison> ?b . ?uri <http://dbpedia.org/ontology/commandStructure> ?a . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };ebdbaf92c7bf4d16bf1e0624908a684f;;;;;;;;;;;;;;;
;;Name the military units whose command structure's headquarters is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/headquarters> <A> . ?uri <http://dbpedia.org/ontology/commandStructure> ?x . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };select distinct ?a where { ?x <http://dbpedia.org/property/headquarters> ?a . ?uri <http://dbpedia.org/ontology/commandStructure> ?x . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };c0f5e4506a7246bd925820748e927766;;;;;;;;;;;;;;;
;;Name the monarch of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/monarch> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/monarch> ?uri };c3f02e6afc5c4437933fc26320fd4915;;;;;;;;;;;;;;;
;Geography;Name the mountain located in <A> and has parent peak as <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/locatedInArea> <A> . ?uri <http://dbpedia.org/ontology/parentMountainPeak> <B> . ?uri a <http://dbpedia.org/ontology/Mountain> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/locatedInArea> ?a . ?uri <http://dbpedia.org/ontology/parentMountainPeak> ?b . ?uri a <http://dbpedia.org/ontology/Mountain> };5939910c8f974ca1bf12a412dd886263;;;;;;;;;;;;;;;
